group,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13
AKL,0,22,1,3,10,26,2,2,18,24,,1,
AMD,0,2,0,,5,114,56,,109,12,,7,
AOR,2,31,2,1,24,1789,13,113,109,35,2,,
ASB,0,0,0,,,2,,,,,,,
ATQ,0,2,0,2,9,261,13,2,39,8,,4,
AVV,1,47,16,17,11,80,8,2,,14,,1,
BBI,8,19,2,10,33,1590,93,50,702,169,1,15,
BCD,0,3,0,,3,112,,4,100,4,1,,
BDO,0,46,1,8,27,1639,12,76,952,153,1,11,
BEY,0,0,0,,,1,,,,,,,
BFV,1,10,0,,14,682,,9,78,3,1,,
BKI,71,351,677,427,1146,15304,3430,381,7412,4605,18,739,
BKK,0,0,0,,,3,,,,,,,
BLR,30,238,82,136,1018,7924,1715,437,6234,713,24,225,
BNE,0,3,0,,4,45,4,1,2,3,,,
BOM,6,18,6,36,87,1168,33,23,1409,72,1,17,
BTJ,1,31,0,4,13,954,107,13,330,38,,6,
BTU,0,153,19,23,46,2274,103,144,180,550,54,3,
BWN,6,79,3,13,24,1072,37,2,168,49,2,3,
CAN,0,9,0,28,71,1809,10,40,1000,52,2,8,
CCU,28,142,53,151,155,3932,416,144,4357,904,2,136,
CEB,8,1960,11,220,1427,5776,1157,113,6475,2234,4,151,
CEI,2,44,2,3,53,1367,25,4,1585,305,4,8,
CGK,70,5356,25,105,1089,10414,2479,118,12235,5850,64,287,
CGP,0,0,0,,,1,,,,,,,
CGY,1,9,0,2,33,607,4,4,551,4,1,16,
CJM,0,0,0,,1,26,1,3,11,1,,,
CJU,0,15,0,,3,143,5,5,166,28,,,
CKG,0,2,2,1,13,719,1,4,105,15,44,,
CMB,2,5,1,4,5,191,3,4,6,3,,,
CNX,22,503,21,301,411,8245,652,82,7416,530,28,158,
COK,3,121,2,4,60,3030,128,48,907,181,,48,
CRK,11,149,16,42,110,984,122,187,646,312,4,6,
CSX,0,6,17,5,8,845,56,16,647,88,,2,
CTS,8,845,2,14,45,1759,51,136,438,324,5,10,
CTU,1,12,2,14,10,693,6,3,165,27,,3,
CXR,0,3,0,1,9,410,7,,12,5,,1,
