group,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13
BDO,0,46,1,8,27,1639,12,76,952,153,1,11,
BKI,71,351,677,427,1146,15304,3430,381,7412,4605,18,739,
BLR,30,238,82,136,1018,7924,1715,437,6234,713,24,225,
BOM,6,18,6,36,87,1168,33,23,1409,72,1,17,
CCU,28,142,53,151,155,3932,416,144,4357,904,2,136,
CEB,8,1960,11,220,1427,5776,1157,113,6475,2234,4,151,
CEI,2,44,2,3,53,1367,25,4,1585,305,4,8,
CGK,70,5356,25,105,1089,10414,2479,118,12235,5850,64,287,
CNX,22,503,21,301,411,8245,652,82,7416,530,28,158,
CRK,11,149,16,42,110,984,122,187,646,312,4,6,
DEL,18,85,15,222,569,6156,411,232,7720,262,7,161,
DMK,160,1694,114,1659,5596,38544,4263,1309,84585,4675,86,289,
DPS,95,1691,99,58,593,8928,1695,271,17697,3969,53,149,
HDY,4,325,6,19,198,4398,169,67,3653,228,21,9,
HKT,12,1415,45,938,459,10174,1322,164,8992,1039,218,138,
JED,1,84,1,3,4,188,9,,14,10,,4,
JHB,43,256,79,25,471,9200,1344,552,1914,1021,23,103,
KBV,4,185,,74,126,3637,259,94,2350,174,7,17,
KCH,58,168,47,39,592,13552,761,1151,2217,1481,72,104,
KLO,31,142,12,30,725,2011,246,174,1961,656,3,88,
KNO,9,1045,4,78,162,5403,523,147,4396,887,99,11,
KUL,410,15683,479,2752,12679,92460,58671,3087,55677,28891,175,6447,
LGK,8,435,29,36,208,7213,1395,331,1864,171,9,167,
MNL,66,3010,72,629,7174,11885,3773,1297,18262,3612,15,415,
NGO,9,771,4,24,57,1265,441,6,359,152,1,61,
PEN,86,394,42,437,558,18145,2353,806,3496,2015,34,265,
SIN,49,1509,137,243,352,11688,1980,62,20387,82,6,335,
SUB,19,598,5,31,216,3030,1252,71,866,1112,28,99,
UTP,7,223,,11,56,1663,430,48,685,175,10,106,
