departurestation,Metric,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
AKL,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKL,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKL,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKL,A1800_1859_to_A2300_2359,20.37,23.08,24.53,19.23,13.46,9.62,21.57
AOR,A0000_1259_to_A0500_0559,0.0,0.0,0.56,0.0,0.0,0.0,0.0
AOR,A0600_0659_to_A1100_1159,17.83,19.05,15.08,22.22,15.17,20.63,13.33
AOR,A1200_1259_to_A1700_1759,1.55,0.0,20.11,0.79,19.66,0.79,24.44
AOR,A1800_1859_to_A2300_2359,42.64,42.86,29.61,43.65,30.34,45.24,25.0
BBI,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBI,A0600_0659_to_A1100_1159,5.3,0.81,1.01,4.69,10.78,5.38,7.48
BBI,A1200_1259_to_A1700_1759,6.82,4.07,6.06,5.47,6.86,5.38,7.48
BBI,A1800_1859_to_A2300_2359,25.76,21.95,36.36,27.34,13.73,21.54,17.76
BDO,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDO,A0600_0659_to_A1100_1159,19.16,22.93,18.15,21.74,24.52,25.6,20.77
BDO,A1200_1259_to_A1700_1759,9.81,12.68,25.1,12.56,22.99,13.04,21.54
BDO,A1800_1859_to_A2300_2359,18.22,16.1,13.51,15.94,14.18,18.36,14.23
BEY,A0000_1259_to_A0500_0559,100.0,0.0,100.0,0.0,100.0,0.0,0.0
BEY,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEY,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEY,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFV,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFV,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFV,A1200_1259_to_A1700_1759,45.28,47.17,54.72,48.08,51.92,55.77,57.69
BFV,A1800_1859_to_A2300_2359,0.0,0.0,1.89,0.0,0.0,0.0,0.0
BKI,A0000_1259_to_A0500_0559,0.1,0.15,0.17,0.15,0.0,0.05,0.11
BKI,A0600_0659_to_A1100_1159,11.11,12.35,12.52,12.97,13.53,11.55,12.24
BKI,A1200_1259_to_A1700_1759,21.91,21.84,22.81,22.0,22.74,22.6,22.15
BKI,A1800_1859_to_A2300_2359,20.88,21.73,20.35,21.69,21.35,23.11,20.59
